진료년도,주상병코드,성별,입원외래구분,환자수(명),청구건수(건),요양급여비용(원)
2013,A00,남,외래,26 ,35 ,965830 
2013,A00,여,외래,44 ,50 ,1580450 
2013,A00,남,입원,1 ,1 ,784840 
2013,A00,여,입원,6 ,7 ,3180840 
2013,A01,남,외래,172 ,297 ,8959330 
2013,A01,여,외래,162 ,221 ,6120030 
2013,A01,남,입원,92 ,102 ,183884820 
2013,A01,여,입원,78 ,94 ,165009890 
2013,A02,남,외래,2963 ,4676 ,100093080 
2013,A02,여,외래,3489 ,6090 ,121755030 
2013,A02,남,입원,349 ,375 ,424850570 
2013,A02,여,입원,397 ,421 ,399511680 
2013,A03,남,외래,282 ,434 ,6761020 
2013,A03,여,외래,320 ,505 ,8086370 
2013,A03,남,입원,78 ,90 ,79038270 
2013,A03,여,입원,103 ,119 ,113333110 
2013,A04,남,외래,233604 ,326187 ,5087857680 
2013,A04,여,외래,262443 ,376245 ,5878518440 
2013,A04,남,입원,4941 ,5501 ,4804404250 
2013,A04,여,입원,6692 ,7509 ,6996313940 
2013,A05,남,외래,25555 ,33443 ,505896420 
2013,A05,여,외래,29732 ,39500 ,595271420 
2013,A05,남,입원,650 ,672 ,347887480 
2013,A05,여,입원,704 ,742 ,422587790 
2013,A06,남,외래,2064 ,3248 ,66890070 
2013,A06,여,외래,2136 ,3193 ,62330510 
2013,A06,남,입원,143 ,159 ,260239990 
2013,A06,여,입원,112 ,131 ,202779500 
2013,A07,남,외래,484 ,643 ,26420110 
2013,A07,여,외래,526 ,678 ,10081200 
2013,A07,남,입원,10 ,10 ,7874810 
2013,A07,여,입원,12 ,14 ,11241930 
2013,A08,남,외래,257954 ,377863 ,5919515540 
2013,A08,여,외래,268256 ,384553 ,6108763190 
2013,A08,남,입원,12364 ,13102 ,6393694270 
2013,A08,여,입원,11602 ,12328 ,6258026090 
2013,A09,남,외래,1853279 ,2990756 ,64545129840 
2013,A09,여,외래,2041347 ,3227804 ,73919841530 
2013,A09,남,입원,94001 ,102536 ,57682612100 
2013,A09,여,입원,114282 ,125385 ,76848298090 
2013,A15,남,외래,23666 ,131145 ,6534282860 
2013,A15,여,외래,15637 ,85383 ,3966991190 
2013,A15,남,입원,6456 ,11983 ,24435179650 
2013,A15,여,입원,4235 ,7701 ,14487626400 
2013,A16,남,외래,24161 ,108057 ,5488130330 
2013,A16,여,외래,16662 ,72974 ,3564124060 
2013,A16,남,입원,5584 ,7945 ,15873197250 
2013,A16,여,입원,3569 ,5286 ,9867937160 
2013,A17,남,외래,460 ,3168 ,145587700 
2013,A17,여,외래,347 ,2047 ,79592790 
2013,A17,남,입원,263 ,555 ,2094521190 
2013,A17,여,입원,192 ,544 ,1762175350 
2013,A18,남,외래,4518 ,25774 ,1203676520 
2013,A18,여,외래,7290 ,42415 ,1882946680 
2013,A18,남,입원,918 ,1425 ,3720827570 
2013,A18,여,입원,1340 ,2240 ,5408268090 
2013,A19,남,외래,370 ,2074 ,154184540 
2013,A19,여,외래,398 ,1980 ,102925930 
2013,A19,남,입원,165 ,254 ,920642220 
2013,A19,여,입원,227 ,477 ,1559481260 
2013,A20,남,외래,12 ,16 ,352790 
2013,A20,여,외래,5 ,8 ,433620 
2013,A20,남,입원,1 ,1 ,702760 
2013,A21,남,외래,3 ,3 ,188640 
2013,A21,여,외래,2 ,2 ,112360 
2013,A22,남,외래,3 ,15 ,245800 
2013,A22,여,외래,2 ,2 ,112170 
2013,A23,남,외래,13 ,31 ,1484790 
2013,A23,여,외래,2 ,2 ,40880 
2013,A23,남,입원,8 ,9 ,16346580 
2013,A23,여,입원,1 ,1 ,1813080 
2013,A24,남,외래,9 ,14 ,439200 
2013,A24,여,외래,17 ,23 ,477950 
2013,A24,남,입원,1 ,1 ,908070 
2013,A24,여,입원,1 ,1 ,1283260 
2013,A25,남,외래,27 ,40 ,1074440 
