"day","hour","forecast","value location:60_127 Start : 20180901 "
"01","00:30","+1","25.900000"
"01","00:30","+2","27.500000"
"01","00:30","+3","29.000000"
"01","01:30","+1","27.400000"
"01","01:30","+2","29.000000"
"01","02:30","+1","29.000000"
"01","02:30","+2","29.700001"
"01","02:30","+3","30.299999"
"01","02:30","+4","31.000000"
"01","03:30","+1","29.100000"
"01","03:30","+2","30.000000"
"01","03:30","+3","31.000000"
"01","04:30","+1","30.000000"
"01","04:30","+2","31.000000"
"01","05:30","+1","31.000000"
"01","05:30","+2","30.299999"
"01","05:30","+3","29.700001"
"01","05:30","+4","29.000000"
"01","06:30","+1","29.700001"
"01","06:30","+2","29.299999"
"01","06:30","+3","29.000000"
"01","07:30","+1","29.700001"
"01","07:30","+2","29.000000"
"01","08:30","+1","29.000000"
"01","08:30","+2","27.700001"
"01","08:30","+3","26.299999"
"01","08:30","+4","25.000000"
"01","09:30","+1","26.900000"
"01","09:30","+2","25.500000"
"01","09:30","+3","24.000000"
"01","10:30","+1","25.600000"
"01","10:30","+2","24.000000"
"01","11:30","+1","24.000000"
"01","11:30","+2","23.700001"
"01","11:30","+3","23.299999"
"01","11:30","+4","23.000000"
"01","12:30","+1","24.500000"
"01","12:30","+2","23.799999"
"01","12:30","+3","23.000000"
"01","13:30","+1","23.900000"
"01","13:30","+2","23.000000"
"01","14:30","+1","23.000000"
"01","14:30","+2","22.299999"
"01","14:30","+3","21.700001"
"01","14:30","+4","21.000000"
"01","15:30","+1","22.900000"
"01","15:30","+2","21.900000"
"01","15:30","+3","21.000000"
"01","16:30","+1","21.900000"
"01","16:30","+2","21.000000"
"01","17:30","+1","21.000000"
"01","17:30","+2","20.700001"
"01","17:30","+3","20.299999"
"01","17:30","+4","20.000000"
"01","18:30","+1","20.700001"
"01","18:30","+2","20.400000"
"01","18:30","+3","20.000000"
"01","19:30","+1","20.400000"
"01","19:30","+2","20.000000"
"01","20:30","+1","20.000000"
"01","20:30","+2","21.000000"
"01","20:30","+3","22.000000"
"01","20:30","+4","23.000000"
"01","21:30","+1","20.900000"
"01","21:30","+2","22.400000"
"01","21:30","+3","24.000000"
"01","22:30","+1","22.000000"
"01","22:30","+2","24.000000"
"01","23:30","+1","24.000000"
"01","23:30","+2","25.000000"
"01","23:30","+3","26.000000"
"01","23:30","+4","27.000000"
"02","00:30","+1","24.400000"
"02","00:30","+2","25.700001"
"02","00:30","+3","27.000000"
"02","01:30","+1","25.799999"
"02","01:30","+2","27.000000"
"02","02:30","+1","27.000000"
"02","02:30","+2","27.700001"
"02","02:30","+3","28.299999"
"02","02:30","+4","29.000000"
"02","03:30","+1","27.500000"
"02","03:30","+2","28.200001"
"02","03:30","+3","29.000000"
"02","04:30","+1","28.200001"
"02","04:30","+2","29.000000"
"02","05:30","+1","29.000000"
"02","05:30","+2","28.299999"
"02","05:30","+3","27.700001"
"02","05:30","+4","27.000000"
"02","06:30","+1","28.299999"
"02","06:30","+2","27.700001"
"02","06:30","+3","27.000000"
"02","07:30","+1","27.700001"
"02","07:30","+2","27.000000"
"02","08:30","+1","27.000000"
"02","08:30","+2","26.299999"
"02","08:30","+3","25.700001"
"02","08:30","+4","25.000000"
"02","09:30","+1","25.799999"
"02","09:30","+2","25.400000"
"02","09:30","+3","25.000000"
"02","10:30","+1","25.400000"
"02","10:30","+2","25.000000"
"02","11:30","+1","25.000000"
"02","11:30","+2","24.700001"
"02","11:30","+3","24.299999"
"02","11:30","+4","24.000000"
"02","12:30","+1","25.000000"
"02","12:30","+2","24.500000"
"02","12:30","+3","24.000000"
"02","13:30","+1","24.600000"
"02","13:30","+2","24.000000"
"02","14:30","+1","24.000000"
"02","14:30","+2","23.700001"
"02","14:30","+3","23.299999"
"02","14:30","+4","23.000000"
"02","15:30","+1","23.900000"
"02","15:30","+2","23.500000"
"02","15:30","+3","23.000000"
"02","16:30","+1","23.500000"
"02","16:30","+2","23.000000"
"02","17:30","+1","23.000000"
"02","17:30","+2","22.700001"
"02","17:30","+3","22.299999"
"02","17:30","+4","22.000000"
"02","18:30","+1","23.200001"
"02","18:30","+2","22.600000"
"02","18:30","+3","22.000000"
"02","19:30","+1","22.700001"
"02","19:30","+2","22.000000"
"02","20:30","+1","22.000000"
"02","20:30","+2","22.299999"
"02","20:30","+3","22.700001"
"02","20:30","+4","23.000000"
"02","21:30","+1","24.299999"
"02","21:30","+2","24.100000"
"02","21:30","+3","24.000000"
"02","22:30","+1","24.000000"
"02","22:30","+2","24.000000"
"02","23:30","+1","24.000000"
"02","23:30","+2","24.000000"
"02","23:30","+3","24.000000"
"02","23:30","+4","24.000000"
"03","00:30","+1","23.200001"
"03","00:30","+2","23.600000"
"03","00:30","+3","24.000000"
"03","01:30","+1","23.299999"
"03","01:30","+2","24.000000"
"03","02:30","+1","24.000000"
"03","02:30","+2","24.000000"
"03","02:30","+3","24.000000"
"03","02:30","+4","24.000000"
"03","03:30","+1","23.200001"
"03","03:30","+2","23.600000"
"03","03:30","+3","24.000000"
"03","04:30","+1","24.100000"
"03","04:30","+2","24.000000"
"03","05:30","+1","24.000000"
"03","05:30","+2","24.000000"
"03","05:30","+3","24.000000"
"03","05:30","+4","24.000000"
"03","06:30","+1","24.900000"
"03","06:30","+2","24.500000"
"03","06:30","+3","24.000000"
"03","07:30","+1","24.299999"
"03","07:30","+2","24.000000"
"03","08:30","+1","24.000000"
"03","08:30","+2","24.299999"
"03","08:30","+3","24.700001"
"03","08:30","+4","25.000000"
"03","09:30","+1","21.600000"
"03","09:30","+2","21.799999"
"03","09:30","+3","22.000000"
"03","10:30","+1","21.400000"
"03","10:30","+2","22.000000"
"03","11:30","+1","22.000000"
"03","11:30","+2","22.000000"
"03","11:30","+3","22.000000"
"03","11:30","+4","22.000000"
"03","12:30","+1","20.500000"
"03","12:30","+2","21.299999"
"03","12:30","+3","22.000000"
"03","13:30","+1","20.900000"
"03","13:30","+2","22.000000"
"03","14:30","+1","22.000000"
"03","14:30","+2","22.299999"
"03","14:30","+3","22.700001"
"03","14:30","+4","23.000000"
"03","15:30","+1","21.200001"
"03","15:30","+2","22.100000"
"03","15:30","+3","23.000000"
"03","16:30","+1","21.799999"
"03","16:30","+2","23.000000"
"03","17:30","+1","23.000000"
"03","17:30","+2","22.700001"
"03","17:30","+3","22.299999"
"03","17:30","+4","22.000000"
"03","18:30","+1","21.200001"
"03","18:30","+2","21.600000"
"03","18:30","+3","22.000000"
"03","19:30","+1","21.400000"
"03","19:30","+2","22.000000"
"03","20:30","+1","22.000000"
"03","20:30","+2","22.299999"
"03","20:30","+3","22.700001"
"03","20:30","+4","23.000000"
"03","21:30","+1","20.700001"
"03","21:30","+2","21.799999"
"03","21:30","+3","23.000000"
"03","22:30","+1","21.200001"
"03","22:30","+2","23.000000"
"03","23:30","+1","23.000000"
"03","23:30","+2","24.299999"
"03","23:30","+3","25.700001"
"03","23:30","+4","27.000000"
"04","00:30","+1","23.200001"
"04","00:30","+2","25.100000"
"04","00:30","+3","27.000000"
"04","01:30","+1","24.900000"
"04","01:30","+2","27.000000"
"04","02:30","+1","27.000000"
"04","02:30","+2","27.000000"
"04","02:30","+3","27.000000"
"04","02:30","+4","27.000000"
"04","03:30","+1","25.700001"
"04","03:30","+2","26.299999"
"04","03:30","+3","27.000000"
"04","04:30","+1","26.200001"
"04","04:30","+2","27.000000"
"04","05:30","+1","27.000000"
"04","05:30","+2","26.700001"
"04","05:30","+3","26.299999"
"04","05:30","+4","26.000000"
"04","06:30","+1","25.700001"
"04","06:30","+2","25.900000"
"04","06:30","+3","26.000000"
"04","07:30","+1","26.000000"
"04","07:30","+2","26.000000"
"04","08:30","+1","26.000000"
"04","08:30","+2","24.700001"
